Region,Upper Tier Local Authority  ,Lower Tier Local Authority  ,Plug in Grant Eligible Vehicles,Hybrid Electric,Band A Cars,Company Cars,cars: Av Co2,Cars: Average Age,Petrol Cars,Diesel Cars,All Cars,Cars: Av Engine Size,Cars: Av Mass,Cars: Av Nox,PropDiesel,PropCompanyCar
North West,Lancashire,Rossendale,20,136,1130,1918,151,7.4,20142,12756,33104,1673,1392,0.11,38.53310778,5.793861769
North West,Lancashire,South Ribble,28,244,1615,2545,151,7.8,36415,20547,57313,1675,1409,0.1,35.85050512,4.440528327
North West,Lancashire,West Lancashire,28,291,1552,3277,153,7.7,35193,20949,56519,1720,1420,0.11,37.06541163,5.798050213
North West,Lancashire,Wyre,25,285,1512,2737,155,8.2,36046,18895,55322,1713,1395,0.11,34.15458588,4.947398865
North West,Liverpool,Liverpool,35,460,3995,14768,149,7.2,91837,44240,136691,1621,1372,0.09,32.36496916,10.80393003
North West,Manchester,Manchester,67,726,3645,12912,152,8.1,91934,43045,135961,1642,1382,0.1,31.65981421,9.496841006
North West,Oldham,Oldham,61,354,2569,5450,150,7.5,56615,27648,84806,1634,1370,0.1,32.60146688,6.426432092
North West,Rochdale,Rochdale,32,441,2598,5257,151,7.5,54583,27984,83177,1650,1376,0.1,33.64391599,6.320256802
North West,Salford,Salford,41,477,2625,6321,151,7.5,58050,25725,84399,1636,1370,0.09,30.48021896,7.48942523
North West,Sefton,Sefton,37,596,3086,7073,152,7.7,79576,37764,118087,1661,1372,0.1,31.97981149,5.989651697
North West,St. Helens,St. Helens,17,257,2520,4575,149,7.4,54402,25296,80046,1617,1356,0.09,31.60182895,5.715463608
North West,Stockport,Stockport,78,935,4273,7606,153,7.8,98253,42964,142368,1677,1372,0.09,30.17812992,5.342492695
North West,Tameside,Tameside,21,374,2846,5144,151,7.9,64096,26975,91605,1629,1391,0.09,29.44708258,5.615414006
North West,Trafford,Trafford,46,1166,5690,28457,148,6.6,74067,55575,130951,1741,1429,0.1,42.43953845,21.73102916
North West,Warrington UA,Warrington UA,52,487,3146,5291,151,7.3,67962,35736,104336,1680,1387,0.1,34.25088177,5.071116393
North West,Wigan,Wigan,53,522,4251,8773,151,7.7,95716,47407,143844,1642,1365,0.1,32.95723145,6.098968327
North West,Wirral,Wirral,40,803,4112,9595,152,7.6,98769,44222,144017,1647,1388,0.09,30.7060972,6.66240791
Yorkshire and Humberside,Barnsley,Barnsley,42,371,2822,5409,152,7.8,62546,41516,104616,1681,1390,0.11,39.68417833,5.170337233
Yorkshire and Humberside,Bradford,Bradford,63,1121,5649,11829,152,7.9,115434,71902,188897,1680,1395,0.11,38.06413019,6.262142861
Yorkshire and Humberside,Calderdale,Calderdale,34,336,2558,4289,152,7.7,55945,31403,87869,1675,1395,0.11,35.7384288,4.881129864
Yorkshire and Humberside,Doncaster,Doncaster,454,787,4429,9879,151,7.5,75591,61248,137998,1732,1434,0.12,44.38325193,7.158799403
Yorkshire and Humberside,East Riding of Yorkshire UA,East Riding of Yorkshire UA,60,951,5223,8054,153,7.6,105292,67975,174521,1713,1412,0.11,38.9494674,4.614917402
Yorkshire and Humberside,"Kingston upon Hull, City of UA","Kingston upon Hull, City of UA",19,221,1881,5925,152,8.3,59149,26403,85930,1611,1372,0.1,30.72617247,6.895147213
Yorkshire and Humberside,Kirklees,Kirklees,74,785,5662,10120,151,7.6,112987,65736,179863,1673,1393,0.1,36.54781695,5.626504617
Yorkshire and Humberside,Leeds,Leeds,174,2256,15467,48596,148,7,192601,131040,326386,1687,1403,0.1,40.14878089,14.88911902
Yorkshire and Humberside,North East Lincolnshire UA,North East Lincolnshire UA,16,276,1789,3318,152,7.9,44324,21506,66205,1651,1374,0.1,32.48395136,5.011706064
Yorkshire and Humberside,North Lincolnshire UA,North Lincolnshire UA,50,313,2187,3994,154,8.2,49534,33300,83304,1711,1411,0.12,39.97407087,4.79448766
Yorkshire and Humberside,North Yorkshire,Craven,6,106,1045,1284,153,7.6,17055,12171,29370,1724,1431,0.12,41.44024515,4.371807967
Yorkshire and Humberside,North Yorkshire,Hambleton,20,232,1576,2471,154,7.6,27861,22578,50743,1761,1452,0.12,44.49480717,4.869637191
Yorkshire and Humberside,North Yorkshire,Harrogate,32,537,3598,7210,155,7.2,51105,35420,87225,1782,1445,0.11,40.60762396,8.26597879
Yorkshire and Humberside,North Yorkshire,Richmondshire,14,88,809,934,154,7.5,13262,12019,25405,1753,1455,0.13,47.30958473,3.676441645
Yorkshire and Humberside,North Yorkshire,Ryedale,14,98,781,1467,157,8.2,16294,12953,29396,1773,1467,0.13,44.06381821,4.990474895
Yorkshire and Humberside,North Yorkshire,Scarborough,18,217,1481,2173,154,8.1,30100,16833,47230,1680,1392,0.11,35.64048274,4.600889265
Yorkshire and Humberside,North Yorkshire,Selby,15,151,1506,1627,153,7.5,26122,19963,46324,1739,1419,0.12,43.09429238,3.512218289
